tournament_id,tournament_name,year,match_id,match_date,group_name,home_team_name,away_team_name,home_team_score,away_team_score,goal_diff,home_elo,away_elo,elo_gap,scoreline_component,elo_weight,cis
WC-1930,1930 FIFA Men's World Cup,1930,M-1930-01,1930-07-13,Group 1,France,Mexico,4,1,3,1333.58,1476.16,142.58,0.75,0.7778,0.1944
WC-1930,1930 FIFA Men's World Cup,1930,M-1930-02,1930-07-13,Group 4,United States,Belgium,3,0,3,1477.25,1459.93,17.32,0.75,0.973,0.2433
WC-1930,1930 FIFA Men's World Cup,1930,M-1930-03,1930-07-14,Group 2,Yugoslavia,Brazil,2,1,1,1450.97,1589.7,138.73,0.25,0.7838,0.5878
WC-1930,1930 FIFA Men's World Cup,1930,M-1930-04,1930-07-14,Group 3,Romania,Peru,3,1,2,1466.84,1384.36,82.48,0.5,0.8715,0.4357
WC-1930,1930 FIFA Men's World Cup,1930,M-1930-05,1930-07-15,Group 1,Argentina,France,1,0,1,1794.42,1333.58,460.84,0.25,0.5,0.375
WC-1930,1930 FIFA Men's World Cup,1930,M-1930-06,1930-07-16,Group 1,Chile,Mexico,3,0,3,1376.82,1476.16,99.34,0.75,0.8452,0.2113
WC-1930,1930 FIFA Men's World Cup,1930,M-1930-07,1930-07-17,Group 2,Yugoslavia,Bolivia,4,0,4,1450.97,1307.88,143.09,1.0,0.777,0.0
WC-1930,1930 FIFA Men's World Cup,1930,M-1930-08,1930-07-17,Group 4,United States,Paraguay,3,0,3,1477.25,1527.09,49.84,0.75,0.9223,0.2306
WC-1930,1930 FIFA Men's World Cup,1930,M-1930-09,1930-07-18,Group 3,Uruguay,Peru,1,0,1,1691.64,1384.36,307.28,0.25,0.5211,0.3908
WC-1930,1930 FIFA Men's World Cup,1930,M-1930-10,1930-07-19,Group 1,Chile,France,1,0,1,1376.82,1333.58,43.24,0.25,0.9326,0.6995
WC-1930,1930 FIFA Men's World Cup,1930,M-1930-11,1930-07-19,Group 1,Argentina,Mexico,6,3,3,1794.42,1476.16,318.26,0.75,0.504,0.126
WC-1930,1930 FIFA Men's World Cup,1930,M-1930-12,1930-07-20,Group 2,Brazil,Bolivia,4,0,4,1589.7,1307.88,281.82,1.0,0.5608,0.0
WC-1930,1930 FIFA Men's World Cup,1930,M-1930-13,1930-07-20,Group 4,Paraguay,Belgium,1,0,1,1527.09,1459.93,67.16,0.25,0.8953,0.6715
WC-1930,1930 FIFA Men's World Cup,1930,M-1930-14,1930-07-21,Group 3,Uruguay,Romania,4,0,4,1691.64,1466.84,224.8,1.0,0.6496,0.0
WC-1930,1930 FIFA Men's World Cup,1930,M-1930-15,1930-07-22,Group 1,Argentina,Chile,3,1,2,1794.42,1376.82,417.6,0.5,0.5,0.25
WC-1950,1950 FIFA Men's World Cup,1950,M-1950-01,1950-06-24,Group 1,Brazil,Mexico,4,0,4,1795.47,1681.52,113.95,1.0,0.8224,0.0
WC-1950,1950 FIFA Men's World Cup,1950,M-1950-02,1950-06-25,Group 1,Yugoslavia,Switzerland,3,0,3,1662.08,1529.39,132.69,0.75,0.7932,0.1983
WC-1950,1950 FIFA Men's World Cup,1950,M-1950-03,1950-06-25,Group 2,England,Chile,2,0,2,1842.12,1486.92,355.2,0.5,0.5,0.25
WC-1950,1950 FIFA Men's World Cup,1950,M-1950-04,1950-06-25,Group 2,Spain,United States,3,1,2,1671.61,1442.81,228.8,0.5,0.6434,0.3217
WC-1950,1950 FIFA Men's World Cup,1950,M-1950-05,1950-06-25,Group 3,Sweden,Italy,3,2,1,1713.45,1834.29,120.84,0.25,0.8117,0.6088
WC-1950,1950 FIFA Men's World Cup,1950,M-1950-06,1950-06-28,Group 1,Brazil,Switzerland,2,2,0,1795.47,1529.39,266.08,0.0,0.5853,0.5853
WC-1950,1950 FIFA Men's World Cup,1950,M-1950-07,1950-06-28,Group 1,Yugoslavia,Mexico,4,1,3,1662.08,1681.52,19.44,0.75,0.9697,0.2424
WC-1950,1950 FIFA Men's World Cup,1950,M-1950-08,1950-06-29,Group 2,Spain,Chile,2,0,2,1671.61,1486.92,184.69,0.5,0.7122,0.3561
WC-1950,1950 FIFA Men's World Cup,1950,M-1950-09,1950-06-29,Group 2,United States,England,1,0,1,1442.81,1842.12,399.31,0.25,0.5,0.375
WC-1950,1950 FIFA Men's World Cup,1950,M-1950-10,1950-06-29,Group 3,Sweden,Paraguay,2,2,0,1713.45,1717.79,4.34,0.0,0.9932,0.9932
WC-1950,1950 FIFA Men's World Cup,1950,M-1950-11,1950-07-01,Group 1,Brazil,Yugoslavia,2,0,2,1795.47,1662.08,133.39,0.5,0.7921,0.3961
WC-1950,1950 FIFA Men's World Cup,1950,M-1950-12,1950-07-02,Group 2,Chile,United States,5,2,3,1486.92,1442.81,44.11,0.75,0.9313,0.2328
WC-1950,1950 FIFA Men's World Cup,1950,M-1950-13,1950-07-02,Group 2,Spain,England,1,0,1,1671.61,1842.12,170.51,0.25,0.7343,0.5507
WC-1950,1950 FIFA Men's World Cup,1950,M-1950-14,1950-07-02,Group 3,Italy,Paraguay,2,0,2,1834.29,1717.79,116.5,0.5,0.8184,0.4092
WC-1950,1950 FIFA Men's World Cup,1950,M-1950-15,1950-07-02,Group 4,Uruguay,Bolivia,8,0,8,1580.06,1356.13,223.93,1.0,0.651,0.0
WC-1950,1950 FIFA Men's World Cup,1950,M-1950-16,1950-07-02,Group 1,Switzerland,Mexico,2,1,1,1529.39,1681.52,152.13,0.25,0.7629,0.5722
WC-1950,1950 FIFA Men's World Cup,1950,M-1950-17,1950-07-09,not applicable,Brazil,Sweden,7,1,6,1795.47,1713.45,82.02,1.0,0.8722,0.0
WC-1950,1950 FIFA Men's World Cup,1950,M-1950-18,1950-07-09,not applicable,Uruguay,Spain,2,2,0,1580.06,1671.61,91.55,0.0,0.8573,0.8573
WC-1950,1950 FIFA Men's World Cup,1950,M-1950-19,1950-07-13,not applicable,Brazil,Spain,6,1,5,1795.47,1671.61,123.86,1.0,0.807,0.0
WC-1950,1950 FIFA Men's World Cup,1950,M-1950-20,1950-07-13,not applicable,Uruguay,Sweden,3,2,1,1580.06,1713.45,133.39,0.25,0.7921,0.5941
WC-1950,1950 FIFA Men's World Cup,1950,M-1950-21,1950-07-16,not applicable,Sweden,Spain,3,1,2,1713.45,1671.61,41.84,0.5,0.9348,0.4674
WC-1950,1950 FIFA Men's World Cup,1950,M-1950-22,1950-07-16,not applicable,Uruguay,Brazil,2,1,1,1580.06,1795.47,215.41,0.25,0.6643,0.4982
WC-1954,1954 FIFA Men's World Cup,1954,M-1954-01,1954-06-16,Group 1,Brazil,Mexico,5,0,5,1856.22,1615.89,240.33,1.0,0.6254,0.0
WC-1954,1954 FIFA Men's World Cup,1954,M-1954-02,1954-06-16,Group 1,Yugoslavia,France,1,0,1,1768.11,1612.47,155.64,0.25,0.7574,0.5681
WC-1954,1954 FIFA Men's World Cup,1954,M-1954-03,1954-06-16,Group 3,Austria,Scotland,1,0,1,1681.62,1678.79,2.83,0.25,0.9956,0.7467
WC-1954,1954 FIFA Men's World Cup,1954,M-1954-04,1954-06-16,Group 3,Uruguay,Czechoslovakia,2,0,2,1731.34,1602.7,128.64,0.5,0.7995,0.3998
WC-1954,1954 FIFA Men's World Cup,1954,M-1954-05,1954-06-17,Group 4,Switzerland,Italy,2,1,1,1511.12,1779.99,268.87,0.25,0.581,0.4357
WC-1954,1954 FIFA Men's World Cup,1954,M-1954-06,1954-06-17,Group 2,Hungary,South Korea,9,0,9,1889.45,1574.24,315.21,1.0,0.5087,0.0
WC-1954,1954 FIFA Men's World Cup,1954,M-1954-07,1954-06-17,Group 2,Germany,Turkey,4,1,3,1782.77,1530.04,252.73,0.75,0.6061,0.1515
WC-1954,1954 FIFA Men's World Cup,1954,M-1954-08,1954-06-17,Group 4,England,Belgium,4,4,0,1789.84,1600.55,189.29,0.0,0.705,0.705
WC-1954,1954 FIFA Men's World Cup,1954,M-1954-09,1954-06-19,Group 3,Uruguay,Scotland,7,0,7,1731.34,1678.79,52.55,1.0,0.9181,0.0
WC-1954,1954 FIFA Men's World Cup,1954,M-1954-10,1954-06-19,Group 1,Brazil,Yugoslavia,1,1,0,1856.22,1768.11,88.11,0.0,0.8627,0.8627
WC-1954,1954 FIFA Men's World Cup,1954,M-1954-11,1954-06-19,Group 3,Austria,Czechoslovakia,5,0,5,1681.62,1602.7,78.92,1.0,0.877,0.0
WC-1954,1954 FIFA Men's World Cup,1954,M-1954-12,1954-06-19,Group 1,France,Mexico,3,2,1,1612.47,1615.89,3.42,0.25,0.9947,0.746
WC-1954,1954 FIFA Men's World Cup,1954,M-1954-13,1954-06-20,Group 2,Hungary,Germany,8,3,5,1889.45,1782.77,106.68,1.0,0.8337,0.0
WC-1954,1954 FIFA Men's World Cup,1954,M-1954-14,1954-06-20,Group 2,Turkey,South Korea,7,0,7,1530.04,1574.24,44.2,1.0,0.9311,0.0
WC-1954,1954 FIFA Men's World Cup,1954,M-1954-15,1954-06-20,Group 4,Italy,Belgium,4,1,3,1779.99,1600.55,179.44,0.75,0.7203,0.1801
WC-1954,1954 FIFA Men's World Cup,1954,M-1954-16,1954-06-20,Group 4,England,Switzerland,2,0,2,1789.84,1511.12,278.72,0.5,0.5656,0.2828
WC-1954,1954 FIFA Men's World Cup,1954,M-1954-17,1954-06-23,Group 2,Germany,Turkey,7,2,5,1782.77,1530.04,252.73,1.0,0.6061,0.0
WC-1954,1954 FIFA Men's World Cup,1954,M-1954-18,1954-06-23,Group 4,Switzerland,Italy,4,1,3,1511.12,1779.99,268.87,0.75,0.581,0.1452
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-01,1958-06-08,Group 3,Sweden,Mexico,3,0,3,1637.91,1671.86,33.95,0.75,0.9471,0.2368
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-02,1958-06-08,Group 1,Argentina,Germany,1,3,2,1889.43,1749.63,139.8,0.5,0.7821,0.3911
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-03,1958-06-08,Group 1,Northern Ireland,Czechoslovakia,1,0,1,1505.77,1716.97,211.2,0.25,0.6708,0.5031
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-04,1958-06-08,Group 2,France,Paraguay,7,3,4,1685.68,1602.82,82.86,1.0,0.8709,0.0
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-05,1958-06-08,Group 2,Yugoslavia,Scotland,1,1,0,1758.0,1647.94,110.06,0.0,0.8285,0.8285
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-06,1958-06-08,Group 3,Hungary,Wales,1,1,0,1899.94,1536.48,363.46,0.0,0.5,0.5
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-07,1958-06-08,Group 4,Brazil,Austria,3,0,3,1829.22,1738.38,90.84,0.75,0.8584,0.2146
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-08,1958-06-08,Group 4,Russia,England,2,2,0,1676.92,1818.86,141.94,0.0,0.7788,0.7788
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-09,1958-06-11,Group 1,Argentina,Northern Ireland,3,1,2,1889.43,1505.77,383.66,0.5,0.5,0.25
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-10,1958-06-11,Group 1,Germany,Czechoslovakia,2,2,0,1749.63,1716.97,32.66,0.0,0.9491,0.9491
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-11,1958-06-11,Group 2,Paraguay,Scotland,3,2,1,1602.82,1647.94,45.12,0.25,0.9297,0.6973
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-12,1958-06-11,Group 2,Yugoslavia,France,3,2,1,1758.0,1685.68,72.32,0.25,0.8873,0.6655
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-13,1958-06-11,Group 3,Mexico,Wales,1,1,0,1671.86,1536.48,135.38,0.0,0.789,0.789
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-14,1958-06-11,Group 4,Brazil,England,0,0,0,1829.22,1818.86,10.36,0.0,0.9839,0.9839
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-15,1958-06-11,Group 4,Russia,Austria,2,0,2,1676.92,1738.38,61.46,0.5,0.9042,0.4521
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-16,1958-06-12,Group 3,Sweden,Hungary,2,1,1,1637.91,1899.94,262.03,0.25,0.5916,0.4437
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-17,1958-06-15,Group 3,Sweden,Wales,0,0,0,1637.91,1536.48,101.43,0.0,0.8419,0.8419
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-18,1958-06-15,Group 1,Czechoslovakia,Argentina,6,1,5,1716.97,1889.43,172.46,1.0,0.7312,0.0
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-19,1958-06-15,Group 1,Germany,Northern Ireland,2,2,0,1749.63,1505.77,243.86,0.0,0.6199,0.6199
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-20,1958-06-15,Group 2,France,Scotland,2,1,1,1685.68,1647.94,37.74,0.25,0.9412,0.7059
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-21,1958-06-15,Group 2,Paraguay,Yugoslavia,3,3,0,1602.82,1758.0,155.18,0.0,0.7582,0.7582
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-22,1958-06-15,Group 3,Hungary,Mexico,4,0,4,1899.94,1671.86,228.08,1.0,0.6445,0.0
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-23,1958-06-15,Group 4,Brazil,Russia,2,0,2,1829.22,1676.92,152.3,0.5,0.7626,0.3813
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-24,1958-06-15,Group 4,England,Austria,2,2,0,1818.86,1738.38,80.48,0.0,0.8746,0.8746
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-25,1958-06-17,Group 1,Northern Ireland,Czechoslovakia,2,1,1,1505.77,1716.97,211.2,0.25,0.6708,0.5031
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-26,1958-06-17,Group 3,Wales,Hungary,2,1,1,1536.48,1899.94,363.46,0.25,0.5,0.375
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-27,1958-06-17,Group 4,Russia,England,1,0,1,1676.92,1818.86,141.94,0.25,0.7788,0.5841
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-01,1962-05-30,Group 1,Uruguay,Colombia,2,1,1,1756.13,1349.34,406.79,0.25,0.5,0.375
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-02,1962-05-30,Group 2,Chile,Switzerland,3,1,2,1599.72,1568.98,30.74,0.5,0.9521,0.476
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-03,1962-05-30,Group 3,Brazil,Mexico,2,0,2,1952.45,1672.07,280.38,0.5,0.563,0.2815
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-04,1962-05-30,Group 4,Argentina,Bulgaria,1,0,1,1824.87,1581.13,243.74,0.25,0.6201,0.4651
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-05,1962-05-31,Group 1,Russia,Yugoslavia,2,0,2,1881.44,1842.54,38.9,0.5,0.9394,0.4697
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-06,1962-05-31,Group 2,Germany,Italy,0,0,0,1734.76,1716.84,17.92,0.0,0.9721,0.9721
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-07,1962-05-31,Group 3,Czechoslovakia,Spain,1,0,1,1802.62,1794.09,8.53,0.25,0.9867,0.74
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-08,1962-05-31,Group 4,Hungary,England,2,1,1,1795.04,1769.85,25.19,0.25,0.9607,0.7206
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-09,1962-06-02,Group 1,Yugoslavia,Uruguay,3,1,2,1842.54,1756.13,86.41,0.5,0.8653,0.4327
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-10,1962-06-02,Group 2,Chile,Italy,2,0,2,1599.72,1716.84,117.12,0.5,0.8175,0.4087
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-11,1962-06-02,Group 3,Brazil,Czechoslovakia,0,0,0,1952.45,1802.62,149.83,0.0,0.7665,0.7665
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-12,1962-06-02,Group 4,England,Argentina,3,1,2,1769.85,1824.87,55.02,0.5,0.9143,0.4571
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-13,1962-06-03,Group 1,Russia,Colombia,4,4,0,1881.44,1349.34,532.1,0.0,0.5,0.5
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-14,1962-06-03,Group 2,Germany,Switzerland,2,1,1,1734.76,1568.98,165.78,0.25,0.7416,0.5562
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-15,1962-06-03,Group 3,Spain,Mexico,1,0,1,1794.09,1672.07,122.02,0.25,0.8098,0.6074
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-16,1962-06-03,Group 4,Hungary,Bulgaria,6,1,5,1795.04,1581.13,213.91,1.0,0.6666,0.0
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-17,1962-06-06,Group 1,Russia,Uruguay,2,1,1,1881.44,1756.13,125.31,0.25,0.8047,0.6035
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-18,1962-06-06,Group 2,Germany,Chile,2,0,2,1734.76,1599.72,135.04,0.5,0.7895,0.3948
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-19,1962-06-06,Group 3,Brazil,Spain,2,1,1,1952.45,1794.09,158.36,0.25,0.7532,0.5649
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-20,1962-06-06,Group 4,Hungary,Argentina,0,0,0,1795.04,1824.87,29.83,0.0,0.9535,0.9535
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-21,1962-06-07,Group 1,Yugoslavia,Colombia,5,0,5,1842.54,1349.34,493.2,1.0,0.5,0.0
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-22,1962-06-07,Group 2,Italy,Switzerland,3,0,3,1716.84,1568.98,147.86,0.75,0.7696,0.1924
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-23,1962-06-07,Group 3,Mexico,Czechoslovakia,3,1,2,1672.07,1802.62,130.55,0.5,0.7965,0.3983
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-24,1962-06-07,Group 4,England,Bulgaria,0,0,0,1769.85,1581.13,188.72,0.0,0.7059,0.7059
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-01,1966-07-11,Group 1,England,Uruguay,0,0,0,1836.01,1703.43,132.58,0.0,0.7934,0.7934
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-02,1966-07-12,Group 2,Germany,Switzerland,5,0,5,1806.04,1509.0,297.04,1.0,0.5371,0.0
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-03,1966-07-12,Group 3,Brazil,Bulgaria,2,0,2,1859.75,1659.6,200.15,0.5,0.6881,0.344
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-04,1966-07-12,Group 4,Russia,North Korea,3,0,3,1862.53,1702.68,159.85,0.75,0.7509,0.1877
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-05,1966-07-13,Group 1,France,Mexico,1,1,0,1619.82,1764.24,144.42,0.0,0.7749,0.7749
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-06,1966-07-13,Group 2,Argentina,Spain,2,1,1,1818.56,1735.15,83.41,0.25,0.87,0.6525
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-07,1966-07-13,Group 3,Portugal,Hungary,3,1,2,1662.8,1812.49,149.69,0.5,0.7667,0.3834
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-08,1966-07-13,Group 4,Italy,Chile,2,0,2,1822.19,1619.71,202.48,0.5,0.6844,0.3422
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-09,1966-07-15,Group 1,Uruguay,France,2,1,1,1703.43,1619.82,83.61,0.25,0.8697,0.6523
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-10,1966-07-15,Group 2,Spain,Switzerland,2,1,1,1735.15,1509.0,226.15,0.25,0.6475,0.4857
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-11,1966-07-15,Group 3,Hungary,Brazil,3,1,2,1812.49,1859.75,47.26,0.5,0.9263,0.4632
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-12,1966-07-15,Group 4,Chile,North Korea,1,1,0,1619.71,1702.68,82.97,0.0,0.8707,0.8707
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-13,1966-07-16,Group 2,Argentina,Germany,0,0,0,1818.56,1806.04,12.52,0.0,0.9805,0.9805
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-14,1966-07-16,Group 3,Portugal,Bulgaria,3,0,3,1662.8,1659.6,3.2,0.75,0.995,0.2488
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-15,1966-07-16,Group 4,Russia,Italy,1,0,1,1862.53,1822.19,40.34,0.25,0.9371,0.7028
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-16,1966-07-16,Group 1,England,Mexico,2,0,2,1836.01,1764.24,71.77,0.5,0.8881,0.4441
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-17,1966-07-19,Group 1,Mexico,Uruguay,0,0,0,1764.24,1703.43,60.81,0.0,0.9052,0.9052
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-18,1966-07-19,Group 2,Argentina,Switzerland,2,0,2,1818.56,1509.0,309.56,0.5,0.5175,0.2588
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-19,1966-07-19,Group 3,Portugal,Brazil,3,1,2,1662.8,1859.75,196.95,0.5,0.6931,0.3465
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-20,1966-07-19,Group 4,North Korea,Italy,1,0,1,1702.68,1822.19,119.51,0.25,0.8137,0.6103
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-21,1966-07-20,Group 1,England,France,2,0,2,1836.01,1619.82,216.19,0.5,0.6631,0.3315
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-22,1966-07-20,Group 2,Germany,Spain,2,1,1,1806.04,1735.15,70.89,0.25,0.8895,0.6671
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-23,1966-07-20,Group 3,Hungary,Bulgaria,3,1,2,1812.49,1659.6,152.89,0.5,0.7617,0.3809
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-24,1966-07-20,Group 4,Russia,Chile,2,1,1,1862.53,1619.71,242.82,0.25,0.6216,0.4662
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-01,1970-05-31,Group 1,Mexico,Russia,0,0,0,1630.99,1856.19,225.2,0.0,0.649,0.649
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-02,1970-06-02,Group 2,Uruguay,Israel,2,0,2,1735.17,1571.0,164.17,0.5,0.7441,0.3721
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-03,1970-06-02,Group 3,England,Romania,1,0,1,1925.97,1649.2,276.77,0.25,0.5687,0.4265
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-04,1970-06-02,Group 4,Peru,Bulgaria,3,2,1,1588.91,1678.54,89.63,0.25,0.8603,0.6452
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-05,1970-06-03,Group 1,Belgium,El Salvador,3,0,3,1641.47,1543.37,98.1,0.75,0.8471,0.2118
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-06,1970-06-03,Group 2,Italy,Sweden,1,0,1,1862.98,1713.57,149.41,0.25,0.7671,0.5754
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-07,1970-06-03,Group 3,Brazil,Czechoslovakia,4,1,3,1881.43,1809.19,72.24,0.75,0.8874,0.2219
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-08,1970-06-03,Group 4,Germany,Morocco,2,1,1,1852.05,1599.24,252.81,0.25,0.606,0.4545
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-09,1970-06-06,Group 1,Russia,Belgium,4,1,3,1856.19,1641.47,214.72,0.75,0.6654,0.1663
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-10,1970-06-06,Group 2,Uruguay,Italy,0,0,0,1735.17,1862.98,127.81,0.0,0.8008,0.8008
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-11,1970-06-06,Group 3,Romania,Czechoslovakia,2,1,1,1649.2,1809.19,159.99,0.25,0.7507,0.563
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-12,1970-06-06,Group 4,Peru,Morocco,3,0,3,1588.91,1599.24,10.33,0.75,0.9839,0.246
